ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.957526156136609536e-03,-1.965514957328621561e-03,2.965231090257557511e+01
2.947387449948107949e-03,-1.980885879139643400e-03,2.950132397117375049e+01
2.937222012781120096e-03,-1.996126717179286855e-03,2.935068395430415222e+01
2.927031191109742692e-03,-2.011238050587002731e-03,2.920043148047658121e+01
2.916816301195584125e-03,-2.026220486213943690e-03,2.905060292157862634e+01
2.906578630142812002e-03,-2.041074655870356649e-03,2.890123080035195002e+01
2.896319436888576161e-03,-2.055801213825668872e-03,2.875234415904546736e+01
2.886039953133310524e-03,-2.070400834537186770e-03,2.860396889294354850e+01
2.875741384215138238e-03,-2.084874210585683889e-03,2.845612805211477792e+01
2.865424909932334438e-03,-2.099222050798194190e-03,2.830884211440852383e+01
2.855091685317541570e-03,-2.113445078540264390e-03,2.816212923243790911e+01
2.844742841367190259e-03,-2.127544030161605294e-03,2.801600545702716261e+01
2.834379485729338413e-03,-2.141519653580614690e-03,2.787048493936505267e+01
2.824002703352949169e-03,-2.155372706994686770e-03,2.772558011389286037e+01
2.813613557101371510e-03,-2.169103957704427398e-03,2.758130186376188675e+01
2.803213088332649934e-03,-2.182714181041075889e-03,2.743765967052089394e+01
2.792802317449060573e-03,-2.196204159387447463e-03,2.729466174953556745e+01
2.782382244418130611e-03,-2.209574681283649894e-03,2.715231517249914006e+01
2.771953849267201012e-03,-2.222826540609653626e-03,2.701062597826378564e+01
2.761518092553486275e-03,-2.235960535837579113e-03,2.686959927310529750e+01
2.751075915811399767e-03,-2.248977469347232180e-03,2.672923932142758119e+01
2.740628241978809113e-03,-2.261878146799040524e-03,2.658954962781766085e+01
2.730175975803745148e-03,-2.274663376559120376e-03,2.645053301127503076e+01
2.719720004232996022e-03,-2.287333969171691586e-03,2.631219167236093881e+01
2.709261196783869282e-03,-2.299890736874523386e-03,2.617452725394191759e+01
2.698800405900358360e-03,-2.312334493153510740e-03,2.603754089613781275e+01
2.688338467294809804e-03,-2.324666052332847663e-03,2.590123328602640029e+01
2.677876200276127754e-03,-2.336886229197601694e-03,2.576560470260404401e+01
2.667414408065471067e-03,-2.348995838645811639e-03,2.563065505745434081e+01
2.656953878100302632e-03,-2.360995695367473519e-03,2.549638393153358962e+01
2.646495382327622697e-03,-2.372886613548082398e-03,2.536279060844306343e+01
2.636039677487100451e-03,-2.384669406594550848e-03,2.522987410452269330e+01
2.625587505384814266e-03,-2.396344886881596279e-03,2.509763319606902243e+01
2.615139593158215953e-03,-2.407913865516839863e-03,2.496606644395141572e+01
2.604696653532903236e-03,-2.419377152123004630e-03,2.483517221587432644e+01
2.594259385071737752e-03,-2.430735554635805006e-03,2.470494870650992070e+01
2.583828472416788667e-03,-2.441989879116198987e-03,2.457539395570399776e+01
2.573404586524574624e-03,-2.453140929575842004e-03,2.444650586493868261e+01
2.562988384894991298e-03,-2.464189507814641775e-03,2.431828221221803688e+01
2.552580511794334817e-03,-2.475136413269482180e-03,2.419072066552689293e+01
2.542181598472748483e-03,-2.485982442873186336e-03,2.406381879499875609e+01
2.531792263376436702e-03,-2.496728390922967750e-03,2.393757408391587660e+01
2.521413112354920199e-03,-2.507375048957594544e-03,2.381198393865273388e+01
2.511044738863627869e-03,-2.517923205642644009e-03,2.368704569766362056e+01
2.500687724162062048e-03,-2.528373646663218191e-03,2.356275663960542488e+01
2.490342637507772256e-03,-2.538727154623600119e-03,2.343911399067806656e+01
2.480010036346346012e-03,-2.548984508953326331e-03,2.331611493125704726e+01
2.469690466497620127e-03,-2.559146485819233791e-03,2.319375660188574884e+01
2.459384462338284633e-03,-2.569213858043085680e-03,2.307203610868833366e+01
2.449092546981047197e-03,-2.579187395024357121e-03,2.295095052825863746e+01
2.438815232450501982e-03,-2.589067862667878556e-03,2.283049691207486731e+01
2.428553019855869514e-03,-2.598856023316001122e-03,2.271067229048544434e+01
2.418306399560695135e-03,-2.608552635684995621e-03,2.259147367630680847e+01
2.408075851349666518e-03,-2.618158454805429199e-03,2.247289806807018309e+01
