accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.002387482315623801e+00,7.668412386104933587e-01,-9.790574094971480790e+00
1.002770396993480695e+00,8.012520378016995126e-01,-9.786928542858884583e+00
1.002979029792815169e+00,7.840160757224581278e-01,-9.793881849387171101e+00
1.001943249571095595e+00,7.914722052884398673e-01,-9.791778734843752829e+00
1.001547997704266280e+00,7.922804738391834301e-01,-9.802152186734849337e+00
9.916623555857986272e-01,7.871840111738114265e-01,-9.792337197534925153e+00
1.009115482350021686e+00,8.094924167605029863e-01,-9.802804373155527884e+00
1.004164446361180074e+00,8.157703861486547137e-01,-9.781638189466349331e+00
9.811411072083121576e-01,8.138838442487025260e-01,-9.791246547809535627e+00
1.015213251514159420e+00,7.980509451442471258e-01,-9.791993066661246914e+00
1.000179351401402572e+00,8.151697453305019048e-01,-9.804037390423845366e+00
9.950112357605949143e-01,8.099694078140299291e-01,-9.799217971764965895e+00
1.005770260873755539e+00,8.155980478274703627e-01,-9.788281823829509065e+00
1.004589569554913631e+00,8.029968618055072227e-01,-9.787845149967397518e+00
1.008933602696177045e+00,8.363228939531381911e-01,-9.785027286738152696e+00
1.018510738399320603e+00,8.276387938580456183e-01,-9.790462567823995599e+00
1.006158330776021792e+00,8.238006656929826033e-01,-9.793609148350848059e+00
9.927242164096354848e-01,8.231108985780972720e-01,-9.790531252960066766e+00
1.018269969401715880e+00,8.088377425414481348e-01,-9.800354076457736596e+00
1.003358726919062027e+00,8.147772902046030996e-01,-9.795584106161845384e+00
1.006464574177236004e+00,8.030682050342601297e-01,-9.807846297000853752e+00
1.011122761879408527e+00,8.306817153576956381e-01,-9.800233669999727226e+00
9.915393856077945323e-01,8.256913611937150010e-01,-9.795637171494163908e+00
9.997422521893888359e-01,8.200133284653399190e-01,-9.807828522004214733e+00
9.962234097662041599e-01,8.374080163137054278e-01,-9.790773085779461482e+00
1.007221680138106201e+00,8.239273228831202056e-01,-9.802345503756480838e+00
1.005815609926342891e+00,8.384169952954498850e-01,-9.804682964794002586e+00
9.967236901430048812e-01,8.231879392296793663e-01,-9.801277737446609351e+00
9.893268636960395046e-01,8.371126425820344386e-01,-9.784781280497261591e+00
9.881040494224346826e-01,8.220679295554710331e-01,-9.789377815919433345e+00
1.000889700842965135e+00,8.379454438223754575e-01,-9.784038863163031507e+00
1.012396162541769673e+00,8.376024987615026118e-01,-9.792472222192795783e+00
1.014238843405908863e+00,8.404074658694981048e-01,-9.800395436856117470e+00
9.927134771977201844e-01,8.183701584808993346e-01,-9.800153837682964664e+00
1.001674476197063068e+00,8.329464565695442468e-01,-9.802345461871604826e+00
1.006487455894436556e+00,8.221798224331861027e-01,-9.795731222928205639e+00
1.008754616032863316e+00,8.335687387937240622e-01,-9.800173019020899545e+00
9.921539575477003048e-01,8.313668608601976207e-01,-9.782939543482362055e+00
9.983499517828398062e-01,8.234870180034757903e-01,-9.800179385108807040e+00
1.000656666854004451e+00,8.209944625585894329e-01,-9.803656361651071904e+00
1.009046352878444575e+00,8.308949899087334501e-01,-9.801121472011438129e+00
1.001713941290609089e+00,8.320762932270255874e-01,-9.795424632239372542e+00
9.898198917782379258e-01,8.387471134201481826e-01,-9.784070484113986055e+00
9.984624297177612240e-01,8.468375399598588871e-01,-9.792330402408685686e+00
9.951920694268248102e-01,8.381382506283776568e-01,-9.796171788072271625e+00
1.006559453065833720e+00,8.316861811487900047e-01,-9.783787148213843210e+00
1.008503419924567268e+00,8.421053767856276906e-01,-9.787537258395158091e+00
1.001720173378227052e+00,8.376281611366878099e-01,-9.796984158832010792e+00
9.969331184960465997e-01,8.394065547338882549e-01,-9.794233378124710399e+00
9.962520624772240874e-01,8.481407887516380084e-01,-9.802705392099616333e+00
9.899090628007568560e-01,8.339597825335894887e-01,-9.794823090080946315e+00
1.006197747314584001e+00,8.433909447008257620e-01,-9.803730239043431993e+00
