ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000000000000000e+00,8.357089102116335155e-01,-9.794669920259917006e+00
1.000000000000000000e+00,8.355016807304750381e-01,-9.794668308636893528e+00
1.000000000000000000e+00,8.352733464326189683e-01,-9.794666696509505499e+00
1.000000000000000000e+00,8.350241562134012030e-01,-9.794665083926117788e+00
1.000000000000000000e+00,8.347543549914143712e-01,-9.794663470934198202e+00
1.000000000000000000e+00,8.344641839176801801e-01,-9.794661857580340580e+00
1.000000000000000000e+00,8.341538805671794288e-01,-9.794660243910284336e+00
1.000000000000000000e+00,8.338236791143076587e-01,-9.794658629968898467e+00
1.000000000000000000e+00,8.334738104936754155e-01,-9.794657015800220634e+00
1.000000000000000000e+00,8.331045025475510846e-01,-9.794655401447450060e+00
1.000000000000000000e+00,8.327159801611290213e-01,-9.794653786952977725e+00
1.000000000000000000e+00,8.323084653866992255e-01,-9.794652172358381037e+00
1.000000000000000000e+00,8.318821775577033284e-01,-9.794650557704430938e+00
1.000000000000000000e+00,8.314373333935688448e-01,-9.794648943031123878e+00
1.000000000000000000e+00,8.309741470961395926e-01,-9.794647328377681816e+00
1.000000000000000000e+00,8.304928304384452398e-01,-9.794645713782550445e+00
1.000000000000000000e+00,8.299935928464853285e-01,-9.794644099283425831e+00
1.000000000000000000e+00,8.294766414746492789e-01,-9.794642484917257974e+00
1.000000000000000000e+00,8.289421812753298147e-01,-9.794640870720266790e+00
1.000000000000000000e+00,8.283904150632469543e-01,-9.794639256727938559e+00
1.000000000000000000e+00,8.278215435749437523e-01,-9.794637642975047243e+00
1.000000000000000000e+00,8.272357655238871121e-01,-9.794636029495668694e+00
1.000000000000000000e+00,8.266332776515503689e-01,-9.794634416323173554e+00
1.000000000000000000e+00,8.260142747748440151e-01,-9.794632803490248563e+00
1.000000000000000000e+00,8.253789498302017691e-01,-9.794631191028901895e+00
1.000000000000000000e+00,8.247274939146266304e-01,-9.794629578970479145e+00
1.000000000000000000e+00,8.240600963239578247e-01,-9.794627967345661546e+00
1.000000000000000000e+00,8.233769445886017779e-01,-9.794626356184483740e+00
1.000000000000000000e+00,8.226782245069517163e-01,-9.794624745516335551e+00
1.000000000000000000e+00,8.219641201766930694e-01,-9.794623135369983302e+00
1.000000000000000000e+00,8.212348140241827466e-01,-9.794621525773559156e+00
1.000000000000000000e+00,8.204904868320652689e-01,-9.794619916754593092e+00
1.000000000000000000e+00,8.197313177652836291e-01,-9.794618308339998691e+00
1.000000000000000000e+00,8.189574843956158867e-01,-9.794616700556098010e+00
1.000000000000000000e+00,8.181691627248710574e-01,-9.794615093428625130e+00
1.000000000000000000e+00,8.173665272068566523e-01,-9.794613486982731487e+00
1.000000000000000000e+00,8.165497507682201173e-01,-9.794611881242992979e+00
1.000000000000000000e+00,8.157190048282647599e-01,-9.794610276233427726e+00
1.000000000000000000e+00,8.148744593178222084e-01,-9.794608671977496073e+00
1.000000000000000000e+00,8.140162826972628940e-01,-9.794607068498109470e+00
1.000000000000000000e+00,8.131446419737174969e-01,-9.794605465817642909e+00
1.000000000000000000e+00,8.122597027175736395e-01,-9.794603863957931367e+00
1.000000000000000000e+00,8.113616290783053353e-01,-9.794602262940292903e+00
1.000000000000000000e+00,8.104505837996959228e-01,-9.794600662785528655e+00
1.000000000000000000e+00,8.095267282344970061e-01,-9.794599063513928172e+00
1.000000000000000000e+00,8.085902223585741400e-01,-9.794597465145278292e+00
1.000000000000000000e+00,8.076412247845768944e-01,-9.794595867698873803e+00
1.000000000000000000e+00,8.066798927751707149e-01,-9.794594271193529877e+00
1.000000000000000000e+00,8.057063822558703237e-01,-9.794592675647564306e+00
1.000000000000000000e+00,8.047208478274948673e-01,-9.794591081078843686e+00
1.000000000000000000e+00,8.037234427782858903e-01,-9.794589487504753222e+00
1.000000000000000000e+00,8.027143190957034546e-01,-9.794587894942235806e+00
1.000000000000000000e+00,8.016936274779300486e-01,-9.794586303407765371e+00
1.000000000000000000e+00,8.006615173451016032e-01,-9.794584712917382419e+00
1.000000000000000000e+00,7.996181368502840447e-01,-9.794583123486694021e+00
1.000000000000000000e+00,7.985636328902171455e-01,-9.794581535130868488e+00
1.000000000000000000e+00,7.974981511158359959e-01,-9.794579947864654912e+00
1.000000000000000000e+00,7.964218359425907501e-01,-9.794578361702383162e+00
1.000000000000000000e+00,7.953348305605746349e-01,-9.794576776657978101e+00
1.000000000000000000e+00,7.942372769444715486e-01,-9.794575192744950698e+00
1.000000000000000000e+00,7.931293158633401230e-01,-9.794573609976419348e+00
1.000000000000000000e+00,7.920110868902381362e-01,-9.794572028365113425e+00
1.000000000000000000e+00,7.908827284116985989e-01,-9.794570447923376832e+00
1.000000000000000000e+00,7.897443776370677293e-01,-9.794568868663168004e+00
1.000000000000000000e+00,7.885961706077129207e-01,-9.794567290596081222e+00
1.000000000000000000e+00,7.874382422061034781e-01,-9.794565713733339507e+00
1.000000000000000000e+00,7.862707261647755574e-01,-9.794564138085807059e+00
1.000000000000000000e+00,7.850937550751833083e-01,-9.794562563663985699e+00
1.000000000000000000e+00,7.839074603964476529e-01,-9.794560990478037965e+00
1.000000000000000000e+00,7.827119724639985954e-01,-9.794559418537780004e+00
1.000000000000000000e+00,7.815074204981227179e-01,-9.794557847852688681e+00
1.000000000000000000e+00,7.802939326124207486e-01,-9.794556278431906904e+00
1.000000000000000000e+00,7.790716358221696503e-01,-9.794554710284252508e+00
1.000000000000000000e+00,7.778406560526072155e-01,-9.794553143418228913e+00
1.000000000000000000e+00,7.766011181471286218e-01,-9.794551577842012691e+00
1.000000000000000000e+00,7.753531458754050476e-01,-9.794550013563481983e+00
1.000000000000000000e+00,7.740968619414274610e-01,-9.794548450590196964e+00
1.000000000000000000e+00,7.728323879914750227e-01,-9.794546888929426487e+00
1.000000000000000000e+00,7.715598446220134354e-01,-9.794545328588146305e+00
1.000000000000000000e+00,7.702793513875191289e-01,-9.794543769573030190e+00
1.000000000000000000e+00,7.689910268082426059e-01,-9.794542211890485461e+00
1.000000000000000000e+00,7.676949883778995121e-01,-9.794540655546626340e+00
1.000000000000000000e+00,7.663913525713023089e-01,-9.794539100547295263e+00
1.000000000000000000e+00,7.650802348519264440e-01,-9.794537546898071767e+00
1.000000000000000000e+00,7.637617496794167904e-01,-9.794535994604258278e+00
1.000000000000000000e+00,7.624360105170333579e-01,-9.794534443670904977e+00
1.000000000000000000e+00,7.611031298390383837e-01,-9.794532894102804477e+00
1.000000000000000000e+00,7.597632191380278011e-01,-9.794531345904497144e+00
1.000000000000000000e+00,7.584163889322032004e-01,-9.794529799080283539e+00
1.000000000000000000e+00,7.570627487725901661e-01,-9.794528253634208426e+00
1.000000000000000000e+00,7.557024072502028789e-01,-9.794526709570089196e+00
1.000000000000000000e+00,7.543354720031537619e-01,-9.794525166891508761e+00
1.000000000000000000e+00,7.529620497237101695e-01,-9.794523625601815553e+00
1.000000000000000000e+00,7.515822461653012265e-01,-9.794522085704141290e+00
1.000000000000000000e+00,7.501961661494697120e-01,-9.794520547201390315e+00
1.000000000000000000e+00,7.488039135727782014e-01,-9.794519010096255585e+00
1.000000000000000000e+00,7.474055914136610301e-01,-9.794517474391204459e+00
1.000000000000000000e+00,7.460013017392274071e-01,-9.794515940088519557e+00
1.000000000000000000e+00,7.445911457120208965e-01,-9.794514407190252570e+00
1.000000000000000000e+00,7.431752235967228337e-01,-9.794512875698274001e+00
1.000000000000000000e+00,7.417536347668139962e-01,-9.794511345614250075e+00
1.000000000000000000e+00,7.403264777111875361e-01,-9.794509816939651614e+00
1.000000000000000000e+00,7.388938500407140619e-01,-9.794508289675768253e+00
1.000000000000000000e+00,7.374558484947628667e-01,-9.794506763823694229e+00
1.000000000000000000e+00,7.360125689476745281e-01,-9.794505239384346140e+00
1.000000000000000000e+00,7.345641064151916533e-01,-9.794503716358466505e+00
1.000000000000000000e+00,7.331105550608411070e-01,-9.794502194746611323e+00
1.000000000000000000e+00,7.316520082022759386e-01,-9.794500674549182051e+00
1.000000000000000000e+00,7.301885583175683481e-01,-9.794499155766398957e+00
1.000000000000000000e+00,7.287202970514641276e-01,-9.794497638398318884e+00
1.000000000000000000e+00,7.272473152215893633e-01,-9.794496122444844133e+00
1.000000000000000000e+00,7.257697028246167248e-01,-9.794494607905713579e+00
1.000000000000000000e+00,7.242875490423889007e-01,-9.794493094780513331e+00
1.000000000000000000e+00,7.228009422479990675e-01,-9.794491583068676732e+00
1.000000000000000000e+00,7.213099700118292823e-01,-9.794490072769493239e+00
1.000000000000000000e+00,7.198147191075482398e-01,-9.794488563882103094e+00
1.000000000000000000e+00,7.183152755180667315e-01,-9.794487056405502656e+00
1.000000000000000000e+00,7.168117244414531353e-01,-9.794485550338555058e+00
1.000000000000000000e+00,7.153041502968070509e-01,-9.794484045679979545e+00
1.000000000000000000e+00,7.137926367300932995e-01,-9.794482542428371019e+00
1.000000000000000000e+00,7.122772666199357339e-01,-9.794481040582187603e+00
1.000000000000000000e+00,7.107581220833710800e-01,-9.794479540139759521e+00
1.000000000000000000e+00,7.092352844815636992e-01,-9.794478041099296206e+00
1.000000000000000000e+00,7.077088344254800489e-01,-9.794476543458882745e+00
1.000000000000000000e+00,7.061788517815255073e-01,-9.794475047216486985e+00
1.000000000000000000e+00,7.046454156771415622e-01,-9.794473552369959535e+00
1.000000000000000000e+00,7.031086045063653645e-01,-9.794472058917033763e+00
1.000000000000000000e+00,7.015684959353496453e-01,-9.794470566855334681e+00
1.000000000000000000e+00,7.000251669078467742e-01,-9.794469076182378942e+00
1.000000000000000000e+00,6.984786936506540700e-01,-9.794467586895576616e+00
1.000000000000000000e+00,6.969291516790208085e-01,-9.794466098992236525e+00
1.000000000000000000e+00,6.953766158020203703e-01,-9.794464612469552023e+00
1.000000000000000000e+00,6.938211601278833074e-01,-9.794463127324640084e+00
1.000000000000000000e+00,6.922628580692955502e-01,-9.794461643554505770e+00
1.000000000000000000e+00,6.907017823486580888e-01,-9.794460161156059996e+00
1.000000000000000000e+00,6.891380050033136806e-01,-9.794458680126128414e+00
1.000000000000000000e+00,6.875715973907340350e-01,-9.794457200461444302e+00
1.000000000000000000e+00,6.860026301936742454e-01,-9.794455722158650346e+00
1.000000000000000000e+00,6.844311734252895851e-01,-9.794454245214307520e+00
1.000000000000000000e+00,6.828572964342198848e-01,-9.794452769624895083e+00
1.000000000000000000e+00,6.812810679096351629e-01,-9.794451295386805256e+00
1.000000000000000000e+00,6.797025558862506145e-01,-9.794449822496352098e+00
1.000000000000000000e+00,6.781218277493036295e-01,-9.794448350949782167e+00
1.000000000000000000e+00,6.765389502394982824e-01,-9.794446880743253203e+00
1.000000000000000000e+00,6.749539894579164034e-01,-9.794445411872860774e+00
1.000000000000000000e+00,6.733670108708932345e-01,-9.794443944334622287e+00
1.000000000000000000e+00,6.717780793148602214e-01,-9.794442478124492979e+00
1.000000000000000000e+00,6.701872590011542785e-01,-9.794441013238357030e+00
1.000000000000000000e+00,6.685946135207946339e-01,-9.794439549672025791e+00
1.000000000000000000e+00,6.670002058492257024e-01,-9.794438087421262651e+00
1.000000000000000000e+00,6.654040983510274287e-01,-9.794436626481761721e+00
1.000000000000000000e+00,6.638063527845942113e-01,-9.794435166849151386e+00
1.000000000000000000e+00,6.622070303067799646e-01,-9.794433708519008519e+00
1.000000000000000000e+00,6.606061914775116506e-01,-9.794432251486853147e+00
1.000000000000000000e+00,6.590038962643719467e-01,-9.794430795748148455e+00
1.000000000000000000e+00,6.574002040471487174e-01,-9.794429341298304337e+00
1.000000000000000000e+00,6.557951736223541772e-01,-9.794427888132680948e+00
1.000000000000000000e+00,6.541888632077115240e-01,-9.794426436246585155e+00
1.000000000000000000e+00,6.525813304466124842e-01,-9.794424985635282965e+00
1.000000000000000000e+00,6.509726324125419961e-01,-9.794423536293981769e+00
1.000000000000000000e+00,6.493628256134735821e-01,-9.794422088217853428e+00
1.000000000000000000e+00,6.477519659962336362e-01,-9.794420641402018290e+00
1.000000000000000000e+00,6.461401089508355122e-01,-9.794419195841566506e+00
1.000000000000000000e+00,6.445273093147837473e-01,-9.794417751531529603e+00
1.000000000000000000e+00,6.429136213773493091e-01,-9.794416308466917798e+00
1.000000000000000000e+00,6.412990988838125350e-01,-9.794414866642688011e+00
1.000000000000000000e+00,6.396837950396800920e-01,-9.794413426053766969e+00
1.000000000000000000e+00,6.380677625148696297e-01,-9.794411986695044092e+00
1.000000000000000000e+00,6.364510534478672321e-01,-9.794410548561383933e+00
1.000000000000000000e+00,6.348337194498555602e-01,-9.794409111647604860e+00
1.000000000000000000e+00,6.332158116088129063e-01,-9.794407675948496816e+00
1.000000000000000000e+00,6.315973804935838265e-01,-9.794406241458826656e+00
1.000000000000000000e+00,6.299784761579220183e-01,-9.794404808173323929e+00
1.000000000000000000e+00,6.283591481445042204e-01,-9.794403376086695090e+00
1.000000000000000000e+00,6.267394454889169131e-01,-9.794401945193616399e+00
