gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.688481102365212367e-03,7.029860344097021985e-02,1.213510583668717047e+01
2.717633525304234965e-01,5.279173194956412324e-02,1.214087830528439937e+01
3.715274606857386225e-02,-6.386015400367292538e-02,1.186238306995882041e+01
-1.029112193877011749e-01,1.191968742695587724e-01,1.207103185674092494e+01
2.149651661021709584e-02,-6.416513502822693282e-02,1.201905010395347517e+01
-5.143518456342257433e-02,-8.922829942830078076e-02,1.188949146920280953e+01
-1.668806970310023896e-01,-2.800280040646523777e-02,1.213718167226091715e+01
-1.917206961612434937e-02,2.232773812458808405e-01,1.191877000528608654e+01
5.744338342437840805e-02,-1.561996225123599494e-02,1.174229236831657630e+01
-6.646805603450564592e-02,-1.678647863475932478e-01,1.190980684222914299e+01
-1.297303964222862663e-02,1.606836654772499928e-01,1.149780336351773080e+01
4.819986017538587658e-02,-4.373728921502057637e-02,1.156320908379169055e+01
7.556806853379298416e-02,4.229705730094358157e-02,1.165314191215148298e+01
-1.653584899452001100e-01,1.463988924027420091e-01,1.150723964811233913e+01
-1.112862588362514976e-01,3.302408201031320489e-02,1.122987625783397192e+01
2.342117974303945527e-01,-2.002273598022401013e-01,1.120843789624636599e+01
6.009112084797394587e-02,2.883596448348604291e-01,1.136254147986315211e+01
2.143565103764824564e-02,-6.420835367736471566e-02,1.153948631983448614e+01
1.758542347223363434e-03,-1.347914139052295845e-01,1.117346236863421716e+01
-2.484563301574966576e-01,1.388831708004423793e-01,1.109941606574799522e+01
1.977703905559832429e-02,-1.834637734289630839e-01,1.117176890694694080e+01
1.026366577539314894e-02,1.516502374879177273e-01,1.079513319178913200e+01
1.914159866678848687e-01,6.821028476923178541e-02,1.090718589188622190e+01
1.467690696038397302e-01,1.406573603608951284e-01,1.088376869016748749e+01
-7.749377976013627559e-03,-1.576765111682813525e-01,1.073600410092907431e+01
-8.698780115617682496e-02,-1.048680181952950791e-01,1.080709619779969444e+01
9.674971726127318261e-02,-1.870140723204884170e-02,1.094051258729535370e+01
-1.581267182256047288e-01,-8.031288714359954839e-02,1.071239578877165854e+01
-2.981905977655173803e-02,5.236485097907880859e-02,1.059594749794651669e+01
1.597929942571571504e-01,-5.999681364860440236e-02,1.047346437738781688e+01
9.931736746424644352e-03,1.094233883404354540e-01,1.050542279277972568e+01
1.229306655231579559e-01,-9.577828989686380801e-02,1.040354358233595455e+01
-5.902637021390366723e-02,1.528512602268825571e-01,1.032416491071747267e+01
-8.387988761359937984e-02,-1.389282740697995733e-01,1.035098995689271462e+01
1.019141248561193230e-01,-3.871103666749856065e-02,1.021872591051914725e+01
-1.229128181715621743e-01,-2.709728824989919571e-02,1.009493504975428380e+01
8.043693558881638561e-02,-1.121166013997691585e-01,9.862429865449650279e+00
-1.234738747370661138e-01,1.244029180540970163e-02,1.010057776775197880e+01
1.214674228226386710e-01,5.297106446540600366e-02,1.007380201335719327e+01
1.962159706172400819e-01,2.015971664295828913e-01,9.904681749929801882e+00
5.049270795620673961e-04,6.979831424406449103e-02,1.003003263938485645e+01
1.298544774364132903e-01,-1.552877004237514019e-03,9.807721610051297390e+00
-3.728440324726631921e-02,-7.908060865494238867e-02,9.888767593753961194e+00
3.657012190518794947e-02,-1.277632491619358490e-02,9.604421546868424642e+00
-1.572411969026916434e-01,1.479699340501155341e-02,9.535274934487031118e+00
