mag_x (uT),mag_y (uT),mag_z (uT)
2.945085829371745945e+01,-1.432909778845439241e+01,3.766883681452098642e+01
2.926076978384953975e+01,-1.455173812654087584e+01,3.766107879731002583e+01
2.933925478540882281e+01,-1.473027107153136939e+01,3.749485339969791653e+01
2.919304186022702297e+01,-1.505858126886551318e+01,3.777911348519955226e+01
2.891676266356807545e+01,-1.508211785982643960e+01,3.756286387436046681e+01
2.902739774508186343e+01,-1.531291711689573276e+01,3.773807417074770143e+01
2.896552313728638239e+01,-1.531533783490885625e+01,3.777271898045484022e+01
2.877170989444465121e+01,-1.556628352060885057e+01,3.762808340513721106e+01
2.874253108915566912e+01,-1.589195194790374543e+01,3.760250772445162681e+01
2.860707720149453692e+01,-1.588457435192502132e+01,3.783533400987455764e+01
2.854830313241416562e+01,-1.604250212247418261e+01,3.777811272160342781e+01
2.834198966944728326e+01,-1.613735113551101463e+01,3.767184094924432003e+01
2.834118997650238825e+01,-1.639612969990779945e+01,3.773377671568330527e+01
2.811839643481240714e+01,-1.648046164457024787e+01,3.770169133653579507e+01
2.812081834200230901e+01,-1.687083730485676014e+01,3.770436867965769068e+01
2.789719137881247590e+01,-1.678622373316201433e+01,3.769595688460236715e+01
2.795437825816004462e+01,-1.686517652039544757e+01,3.752179808501306013e+01
2.791956130999687957e+01,-1.707445477763719666e+01,3.757327089436765277e+01
2.761834689589316838e+01,-1.750420858720412554e+01,3.777418987244319482e+01
2.754883957797548888e+01,-1.737832057063742042e+01,3.772900210718847802e+01
2.751453649644495414e+01,-1.758361532639186109e+01,3.764199715691769654e+01
2.729944333637376275e+01,-1.785338094892511407e+01,3.768884768157725063e+01
2.724931819429620816e+01,-1.800620441656910131e+01,3.773496717680184531e+01
2.726269540402703839e+01,-1.821112839817576656e+01,3.785211168828522688e+01
2.712742513922987442e+01,-1.823361647191568125e+01,3.756117657172243440e+01
2.697832432475717823e+01,-1.844779886229119370e+01,3.763536749678912940e+01
2.693334869203119553e+01,-1.857991722231841081e+01,3.773305478639382926e+01
2.674090867409047689e+01,-1.873071002661995266e+01,3.761987741845165090e+01
2.666704129581417604e+01,-1.901755429027556588e+01,3.782170129204437359e+01
2.644761012118681975e+01,-1.912624509399782013e+01,3.741752344593603397e+01
