ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.800384079861759901e+01,-1.693526402685833077e+01,3.768088012852683732e+01
2.790444306158713772e+01,-1.709854743995414950e+01,3.768088012852683732e+01
2.780441223324558564e+01,-1.726073368943118425e+01,3.768088012852683732e+01
2.770377922277672411e+01,-1.742179336088468844e+01,3.768088012852683732e+01
2.760257351685556060e+01,-1.758170078178744689e+01,3.768088012852683732e+01
2.750082327235749347e+01,-1.774043366088556795e+01,3.768088012852683732e+01
2.739855540241960696e+01,-1.789797276213886690e+01,3.768088012852683732e+01
2.729579565633224902e+01,-1.805430160990656674e+01,3.768088012852683732e+01
2.719256869370145679e+01,-1.820940622239090700e+01,3.768088012852683732e+01
2.708889815328895878e+01,-1.836327487063402941e+01,3.768088012852683732e+01
2.698480671690645494e+01,-1.851589786062024956e+01,3.768088012852683732e+01
2.688031616871374752e+01,-1.866726733626824952e+01,3.768088012852683732e+01
2.677544745024565387e+01,-1.881737710130864016e+01,3.768088012852683732e+01
2.667022071147004425e+01,-1.896622245823336428e+01,3.768088012852683732e+01
2.656465535815874546e+01,-1.911380006267641818e+01,3.768088012852683732e+01
2.645877009583387007e+01,-1.926010779174220389e+01,3.768088012852683732e+01
2.635258297053435328e+01,-1.940514462493964487e+01,3.768088012852683732e+01
2.624611140663112252e+01,-1.954891053650890598e+01,3.768088012852683732e+01
2.613937224190378927e+01,-1.969140639804355786e+01,3.768088012852683732e+01
2.603238176007747384e+01,-1.983263389041674429e+01,3.768088012852683732e+01
2.592515572100490573e+01,-1.997259542411470790e+01,3.768088012852683732e+01
2.581770938866632292e+01,-2.011129406716763057e+01,3.768088012852683732e+01
2.571005755714794105e+01,-2.024873347994538975e+01,3.768088012852683732e+01
2.560221457474859719e+01,-2.038491785615658713e+01,3.768088012852683732e+01
2.549419436635394121e+01,-2.051985186945286443e+01,3.768088012852683732e+01
2.538601045420764990e+01,-2.065354062509818434e+01,3.768088012852683732e+01
2.527767597720020376e+01,-2.078598961621498020e+01,3.768088012852683732e+01
2.516920370878703750e+01,-2.091720468416614054e+01,3.768088012852683732e+01
2.506060607364009485e+01,-2.104719198267442337e+01,3.768088012852683732e+01
2.495189516312910527e+01,-2.117595794531939291e+01,3.768088012852683732e+01
2.484308274972213582e+01,-2.130350925608688684e+01,3.768088012852683732e+01
2.473418030038820703e+01,-2.142985282267727598e+01,3.768088012852683732e+01
2.462519898907890337e+01,-2.155499575230736653e+01,3.768088012852683732e+01
2.451614970835999685e+01,-2.167894532976642097e+01,3.768088012852683732e+01
2.440704308025891933e+01,-2.180170899750995162e+01,3.768088012852683732e+01
2.429788946638896974e+01,-2.192329433759591950e+01,3.768088012852683732e+01
2.418869897740646380e+01,-2.204370905528687885e+01,3.768088012852683732e+01
2.407948148185284865e+01,-2.216296096415880257e+01,3.768088012852683732e+01
2.397024661442976523e+01,-2.228105797257256526e+01,3.768088012852683732e+01
2.386100378375132891e+01,-2.239800807137826766e+01,3.768088012852683732e+01
2.375176217961456615e+01,-2.251381932273492126e+01,3.768088012852683732e+01
2.364253077982562701e+01,-2.262849984993965791e+01,3.768088012852683732e+01
2.353331835661654026e+01,-2.274205782817060850e+01,3.768088012852683732e+01
2.342413348268454243e+01,-2.285450147605714477e+01,3.768088012852683732e+01
2.331498453688338302e+01,-2.296583904799931020e+01,3.768088012852683732e+01
2.320587970959386226e+01,-2.307607882716605019e+01,3.768088012852683732e+01
2.309682700779841724e+01,-2.318522911910845608e+01,3.768088012852683732e+01
2.298783425988290219e+01,-2.329329824593062881e+01,3.768088012852683732e+01
2.287890912018652045e+01,-2.340029454096608674e+01,3.768088012852683732e+01
2.277005907331945878e+01,-2.350622634391287136e+01,3.768088012852683732e+01
2.266129143826602999e+01,-2.361110199638492091e+01,3.768088012852683732e+01
2.255261337228967022e+01,-2.371492983784144570e+01,3.768088012852683732e+01
2.244403187465496430e+01,-2.381771820185958433e+01,3.768088012852683732e+01
2.233555379018040199e+01,-2.391947541271921551e+01,3.768088012852683732e+01
2.222718581263468351e+01,-2.402020978227153236e+01,3.768088012852683732e+01
2.211893448798812045e+01,-2.411992960706583489e+01,3.768088012852683732e+01
2.201080621752992172e+01,-2.421864316571155840e+01,3.768088012852683732e+01
2.190280726086110619e+01,-2.431635871645447011e+01,3.768088012852683732e+01
2.179494373877204794e+01,-2.441308449494824728e+01,3.768088012852683732e+01
2.168722163601298192e+01,-2.450882871220433046e+01,3.768088012852683732e+01
2.157964680396493051e+01,-2.460359955270462606e+01,3.768088012852683732e+01
2.147222496321806418e+01,-2.469740517266289714e+01,3.768088012852683732e+01
2.136496170606384482e+01,-2.479025369842242554e+01,3.768088012852683732e+01
2.125786249890675705e+01,-2.488215322497823934e+01,3.768088012852683732e+01
2.115093268460104525e+01,-2.497311181461366303e+01,3.768088012852683732e+01
2.104417748471724181e+01,-2.506313749564170479e+01,3.768088012852683732e+01
2.093760200174313013e+01,-2.515223826124274353e+01,3.768088012852683732e+01
2.083121122122311419e+01,-2.524042206839080293e+01,3.768088012852683732e+01
2.072501001383988140e+01,-2.532769683686137441e+01,3.768088012852683732e+01
2.061900313744178703e+01,-2.541407044831439066e+01,3.768088012852683732e+01
2.051319523901908681e+01,-2.549955074544659439e+01,3.768088012852683732e+01
2.040759085663204786e+01,-2.558414553120798018e+01,3.768088012852683732e+01
2.030219442129348550e+01,-2.566786256807763067e+01,3.768088012852683732e+01
2.019701025880824474e+01,-2.575070957739447763e+01,3.768088012852683732e+01
2.009204259157190009e+01,-2.583269423873905524e+01,3.768088012852683732e+01
1.998729554033066691e+01,-2.591382418936269616e+01,3.768088012852683732e+01
1.988277312590450663e+01,-2.599410702366078141e+01,3.768088012852683732e+01
1.977847927087509916e+01,-2.607355029268713054e+01,3.768088012852683732e+01
1.967441780124035589e+01,-2.615216150370668302e+01,3.768088012852683732e+01
1.957059244803687292e+01,-2.622994811978405849e+01,3.768088012852683732e+01
1.946700684893178490e+01,-2.630691755940562615e+01,3.768088012852683732e+01
1.936366454978517027e+01,-2.638307719613302638e+01,3.768088012852683732e+01
1.926056900618422318e+01,-2.645843435828614787e+01,3.768088012852683732e+01
1.915772358495025429e+01,-2.653299632865391189e+01,3.768088012852683732e+01
1.905513156561950439e+01,-2.660677034423103748e+01,3.768088012852683732e+01
1.895279614189864503e+01,-2.667976359597950520e+01,3.768088012852683732e+01
1.885072042309585783e+01,-2.675198322861312406e+01,3.768088012852683732e+01
1.874890743552827388e+01,-2.682343634040414670e+01,3.768088012852683732e+01
1.864736012390642728e+01,-2.689412998301052227e+01,3.768088012852683732e+01
1.854608135269651470e+01,-2.696407116132287385e+01,3.768088012852683732e+01
1.844507390746096931e+01,-2.703326683333007807e+01,3.768088012852683732e+01
1.834434049617800966e+01,-2.710172391000256553e+01,3.768088012852683732e+01
1.824388375054069655e+01,-2.716944925519246112e+01,3.768088012852683732e+01
1.814370622723597393e+01,-2.723644968554969026e+01,3.768088012852683732e+01
1.804381040920419466e+01,-2.730273197045335465e+01,3.768088012852683732e+01
1.794419870687961449e+01,-2.736830283195765290e+01,3.768088012852683732e+01
1.784487345941218805e+01,-2.743316894475167445e+01,3.768088012852683732e+01
1.774583693587115718e+01,-2.749733693613242025e+01,3.768088012852683732e+01
1.764709133643075134e+01,-2.756081338599047825e+01,3.768088012852683732e+01
1.754863879353833411e+01,-2.762360482680786689e+01,3.768088012852683732e+01
1.745048137306541847e+01,-2.768571774366736449e+01,3.768088012852683732e+01
1.735262107544178889e+01,-2.774715857427305465e+01,3.768088012852683732e+01
1.725505983677301103e+01,-2.780793370898140537e+01,3.768088012852683732e+01
1.715779952994174451e+01,-2.786804949084259420e+01,3.768088012852683732e+01
1.706084196569300460e+01,-2.792751221565160336e+01,3.768088012852683732e+01
1.696418889370368888e+01,-2.798632813200870473e+01,3.768088012852683732e+01
1.686784200363661057e+01,-2.804450344138889761e+01,3.768088012852683732e+01
1.677180292617933333e+01,-2.810204429822007555e+01,3.768088012852683732e+01
1.667607323406791764e+01,-2.815895680996944961e+01,3.768088012852683732e+01
1.658065444309596259e+01,-2.821524703723792271e+01,3.768088012852683732e+01
1.648554801310903173e+01,-2.827092099386219815e+01,3.768088012852683732e+01
1.639075534898472952e+01,-2.832598464702418539e+01,3.768088012852683732e+01
1.629627780159865935e+01,-2.838044391736753980e+01,3.768088012852683732e+01
1.620211666877639090e+01,-2.843430467912094883e+01,3.768088012852683732e+01
1.610827319623167142e+01,-2.848757276022802287e+01,3.768088012852683732e+01
1.601474857849109412e+01,-2.854025394248339254e+01,3.768088012852683732e+01
1.592154395980536030e+01,-2.859235396167490606e+01,3.768088012852683732e+01
1.582866043504732190e+01,-2.864387850773160693e+01,3.768088012852683732e+01
1.573609905059700331e+01,-2.869483322487728572e+01,3.768088012852683732e+01
1.564386080521378375e+01,-2.874522371178935742e+01,3.768088012852683732e+01
1.555194665089581996e+01,-2.879505552176295780e+01,3.768088012852683732e+01
1.546035749372703805e+01,-2.884433416287988194e+01,3.768088012852683732e+01
1.536909419471164640e+01,-2.889306509818233337e+01,3.768088012852683732e+01
1.527815757059652668e+01,-2.894125374585118493e+01,3.768088012852683732e+01
1.518754839468154749e+01,-2.898890547938861317e+01,3.768088012852683732e+01
1.509726739761795322e+01,-2.903602562780490715e+01,3.768088012852683732e+01
1.500731526819505035e+01,-2.908261947580927398e+01,3.768088012852683732e+01
1.491769265411525147e+01,-2.912869226400452405e+01,3.768088012852683732e+01
1.482840016275771688e+01,-2.917424918908536569e+01,3.768088012852683732e+01
1.473943836193064705e+01,-2.921929540404026326e+01,3.768088012852683732e+01
1.465080778061243194e+01,-2.926383601835663839e+01,3.768088012852683732e+01
1.456250890968181011e+01,-2.930787609822928275e+01,3.768088012852683732e+01
1.447454220263707647e+01,-2.935142066677181205e+01,3.768088012852683732e+01
1.438690807630461599e+01,-2.939447470423110431e+01,3.768088012852683732e+01
1.429960691153679164e+01,-2.943704314820444878e+01,3.768088012852683732e+01
1.421263905389939275e+01,-2.947913089385938790e+01,3.768088012852683732e+01
1.412600481434868271e+01,-2.952074279415609936e+01,3.768088012852683732e+01
1.403970446989833576e+01,-2.956188366007210178e+01,3.768088012852683732e+01
1.395373826427620223e+01,-2.960255826082933694e+01,3.768088012852683732e+01
1.386810640857118138e+01,-2.964277132412332705e+01,3.768088012852683732e+01
1.378280908187025489e+01,-2.968252753635437813e+01,3.768088012852683732e+01
1.369784643188583750e+01,-2.972183154286077666e+01,3.768088012852683732e+01
1.361321857557353532e+01,-2.976068794815370211e+01,3.768088012852683732e+01
1.352892559974050535e+01,-2.979910131615393709e+01,3.768088012852683732e+01
1.344496756164441820e+01,-2.983707617043014793e+01,3.768088012852683732e+01
1.336134448958327958e+01,-2.987461699443867147e+01,3.768088012852683732e+01
1.327805638347614270e+01,-2.991172823176470175e+01,3.768088012852683732e+01
1.319510321543487308e+01,-2.994841428636483727e+01,3.768088012852683732e+01
1.311248493032701745e+01,-2.998467952281078297e+01,3.768088012852683732e+01
1.303020144633001287e+01,-3.002052826653422812e+01,3.768088012852683732e+01
1.294825265547670945e+01,-3.005596480407277582e+01,3.768088012852683732e+01
1.286663842419243764e+01,-3.009099338331681039e+01,3.768088012852683732e+01
1.278535859382365736e+01,-3.012561821375722104e+01,3.768088012852683732e+01
1.270441298115833639e+01,-3.015984346673398875e+01,3.768088012852683732e+01
1.262380137893816112e+01,-3.019367327568542692e+01,3.768088012852683732e+01
1.254352355636268790e+01,-3.022711173639809701e+01,3.768088012852683732e+01
1.246357925958552570e+01,-3.026016290725730329e+01,3.768088012852683732e+01
1.238396821220267441e+01,-3.029283080949806006e+01,3.768088012852683732e+01
1.230469011573315186e+01,-3.032511942745650657e+01,3.768088012852683732e+01
1.222574465009195954e+01,-3.035703270882167359e+01,3.768088012852683732e+01
1.214713147405548810e+01,-3.038857456488756981e+01,3.768088012852683732e+01
1.206885022571955446e+01,-3.041974887080546353e+01,3.768088012852683732e+01
1.199090052295005471e+01,-3.045055946583637407e+01,3.768088012852683732e+01
1.191328196382642091e+01,-3.048101015360365551e+01,3.768088012852683732e+01
1.183599412707792098e+01,-3.051110470234563721e+01,3.768088012852683732e+01
1.175903657251295620e+01,-3.054084684516825732e+01,3.768088012852683732e+01
1.168240884144137226e+01,-3.057024028029766072e+01,3.768088012852683732e+01
1.160611045708999534e+01,-3.059928867133266550e+01,3.768088012852683732e+01
1.153014092501136290e+01,-3.062799564749707315e+01,3.768088012852683732e+01
1.145449973348583228e+01,-3.065636480389176910e+01,3.768088012852683732e+01
1.137918635391714162e+01,-3.068439970174660658e+01,3.768088012852683732e+01
1.130420024122145684e+01,-3.071210386867187481e+01,3.768088012852683732e+01
1.122954083421009308e+01,-3.073948079890955398e+01,3.768088012852683732e+01
1.115520755596590696e+01,-3.076653395358408716e+01,3.768088012852683732e+01
1.108119981421350886e+01,-3.079326676095272219e+01,3.768088012852683732e+01
1.100751700168337166e+01,-3.081968261665543096e+01,3.768088012852683732e+01
1.093415849646987681e+01,-3.084578488396423879e+01,3.768088012852683732e+01
1.086112366238347882e+01,-3.087157689403207428e+01,3.768088012852683732e+01
1.078841184929693142e+01,-3.089706194614094414e+01,3.768088012852683732e+01
1.071602239348582941e+01,-3.092224330794956089e+01,3.768088012852683732e+01
1.064395461796340570e+01,-3.094712421574025285e+01,3.768088012852683732e+01
1.057220783280972931e+01,-3.097170787466519215e+01,3.768088012852683732e+01
1.050078133549536474e+01,-3.099599745899191916e+01,3.768088012852683732e+01
1.042967441119962757e+01,-3.101999611234806409e+01,3.768088012852683732e+01
1.035888633312341156e+01,-3.104370694796531893e+01,3.768088012852683732e+01
1.028841636279676308e+01,-3.106713304892257455e+01,3.768088012852683732e+01
1.021826375038121526e+01,-3.109027746838819084e+01,3.768088012852683732e+01
1.014842773496699380e+01,-3.111314322986145697e+01,3.768088012852683732e+01
1.007890754486518148e+01,-3.113573332741306743e+01,3.768088012852683732e+01
1.000970239789481475e+01,-3.115805072592475256e+01,3.768088012852683732e+01
9.940811501665169914e+00,-3.118009836132790014e+01,3.768088012852683732e+01
9.872234053853111035e+00,-3.120187914084124969e+01,3.768088012852683732e+01
9.803969242475693235e+00,-3.122339594320758493e+01,3.768088012852683732e+01
9.736016246158094134e+00,-3.124465161892938880e+01,3.768088012852683732e+01
9.668374234396855726e+00,-3.126564899050349666e+01,3.768088012852683732e+01
9.601042367818592993e+00,-3.128639085265466591e+01,3.768088012852683732e+01
9.534019798434204773e+00,-3.130687997256810462e+01,3.768088012852683732e+01
9.467305669888624209e+00,-3.132711909012087759e+01,3.768088012852683732e+01
9.400899117706224217e+00,-3.134711091811223937e+01,3.768088012852683732e+01
9.334799269531934840e+00,-3.136685814249280924e+01,3.768088012852683732e+01
9.269005245368088453e+00,-3.138636342259262335e+01,3.768088012852683732e+01
9.203516157807110076e+00,-3.140562939134805021e+01,3.768088012852683732e+01
9.138331112260118516e+00,-3.142465865552750870e+01,3.768088012852683732e+01
9.073449207181420562e+00,-3.144345379595600320e+01,3.768088012852683732e+01
9.008869534289077663e+00,-3.146201736773850399e+01,3.768088012852683732e+01
8.944591178781530871e+00,-3.148035190048206644e+01,3.768088012852683732e+01
8.880613219550301807e+00,-3.149845989851677786e+01,3.768088012852683732e+01
8.816934729388972158e+00,-3.151634384111545018e+01,3.768088012852683732e+01
8.753554775198340465e+00,-3.153400618271207634e+01,3.768088012852683732e+01
8.690472418187923154e+00,-3.155144935311904320e+01,3.768088012852683732e+01
8.627686714073792729e+00,-3.156867575774308676e+01,3.768088012852683732e+01
8.565196713272857920e+00,-3.158568777779994718e+01,3.768088012852683732e+01
8.503001461093587565e+00,-3.160248777052783709e+01,3.768088012852683732e+01
8.441099997923304343e+00,-3.161907806939949950e+01,3.768088012852683732e+01
8.379491359411982643e+00,-3.163546098433308629e+01,3.768088012852683732e+01
8.318174576652761942e+00,-3.165163880190169721e+01,3.768088012852683732e+01
8.257148676359086892e+00,-3.166761378554156892e+01,3.768088012852683732e+01
8.196412681038614423e+00,-3.168338817575908806e+01,3.768088012852683732e+01
8.135965609163887891e+00,-3.169896419033631219e+01,3.768088012852683732e+01
8.075806475339852852e+00,-3.171434402453533608e+01,3.768088012852683732e+01
8.015934290468265999e+00,-3.172952985130123693e+01,3.768088012852683732e+01
7.956348061909010561e+00,-3.174452382146372642e+01,3.768088012852683732e+01
7.897046793638444306e+00,-3.175932806393746333e+01,3.768088012852683732e+01
7.838029486404707313e+00,-3.177394468592106946e+01,3.768088012852683732e+01
7.779295137880160915e+00,-3.178837577309472096e+01,3.768088012852683732e+01
7.720842742810926751e+00,-3.180262338981652448e+01,3.768088012852683732e+01
7.662671293163580089e+00,-3.181668957931745467e+01,3.768088012852683732e+01
7.604779778269081802e+00,-3.183057636389500189e+01,3.768088012852683732e+01
7.547167184963943676e+00,-3.184428574510542731e+01,3.768088012852683732e+01
7.489832497728678540e+00,-3.185781970395476748e+01,3.768088012852683732e+01
7.432774698823630288e+00,-3.187118020108838934e+01,3.768088012852683732e+01
7.375992768422162449e+00,-3.188436917697926276e+01,3.768088012852683732e+01
7.319485684741269260e+00,-3.189738855211487234e+01,3.768088012852683732e+01
7.263252424169654553e+00,-3.191024022718279340e+01,3.768088012852683732e+01
7.207291961393316626e+00,-3.192292608325490733e+01,3.768088012852683732e+01
7.151603269518680861e+00,-3.193544798197029877e+01,3.768088012852683732e+01
7.096185320193328927e+00,-3.194780776571678871e+01,3.768088012852683732e+01
7.041037083724330792e+00,-3.196000725781112806e+01,3.768088012852683732e+01
6.986157529194241711e+00,-3.197204826267788391e+01,3.768088012852683732e+01
6.931545624574806830e+00,-3.198393256602694734e+01,3.768088012852683732e+01
6.877200336838406258e+00,-3.199566193502974087e+01,3.768088012852683732e+01
6.823120632067241509e+00,-3.200723811849406530e+01,3.768088012852683732e+01
6.769305475560389418e+00,-3.201866284703765331e+01,3.768088012852683732e+01
