ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200005750150435091e+01,1.200002835462258020e+02,0.000000000000000000e+00,7.197949517329370328e-02,3.999352316597598822e+00,0.000000000000000000e+00
3.200005756490499920e+01,1.200002877786858733e+02,0.000000000000000000e+00,6.828945527836589868e-02,3.999417026304929568e+00,0.000000000000000000e+00
3.200005762505539764e+01,1.200002920112113003e+02,0.000000000000000000e+00,6.478855093695565226e-02,3.999475271040874080e+00,0.000000000000000000e+00
3.200005768212211876e+01,1.200002962437955318e+02,0.000000000000000000e+00,6.146709297432097208e-02,3.999527696676354882e+00,0.000000000000000000e+00
3.200005773626325123e+01,1.200003004764326988e+02,0.000000000000000000e+00,5.831588783489923683e-02,3.999574884562859367e+00,0.000000000000000000e+00
3.200005778762874087e+01,1.200003047091175148e+02,0.000000000000000000e+00,5.532621233936371730e-02,3.999617357976655629e+00,0.000000000000000000e+00
3.200005783636087386e+01,1.200003089418452333e+02,0.000000000000000000e+00,5.248978971142018862e-02,3.999655587919543898e+00,0.000000000000000000e+00
3.200005788259463912e+01,1.200003131746115628e+02,0.000000000000000000e+00,4.979876681279494371e-02,3.999689998340359764e+00,0.000000000000000000e+00
3.200005792645811198e+01,1.200003174074126377e+02,0.000000000000000000e+00,4.724569252757260945e-02,3.999720970835037193e+00,0.000000000000000000e+00
3.200005796807278813e+01,1.200003216402449908e+02,0.000000000000000000e+00,4.482349723950958958e-02,3.999748848877289653e+00,0.000000000000000000e+00
3.200005800755396024e+01,1.200003258731054672e+02,0.000000000000000000e+00,4.252547334854027417e-02,3.999773941626759477e+00,0.000000000000000000e+00
3.200005804501099504e+01,1.200003301059913241e+02,0.000000000000000000e+00,4.034525677510606562e-02,3.999796527356827003e+00,0.000000000000000000e+00
3.200005808054765311e+01,1.200003343388999753e+02,0.000000000000000000e+00,3.827680940325992737e-02,3.999816856540045151e+00,0.000000000000000000e+00
3.200005811426240854e+01,1.200003385718291611e+02,0.000000000000000000e+00,3.631440241580926459e-02,3.999835154625396072e+00,0.000000000000000000e+00
3.200005814624863376e+01,1.200003428047768210e+02,0.000000000000000000e+00,3.445260047696023509e-02,3.999851624538135031e+00,0.000000000000000000e+00
3.200005817659495477e+01,1.200003470377410935e+02,0.000000000000000000e+00,3.268624671999776493e-02,3.999866448929931817e+00,0.000000000000000000e+00
3.200005820538545009e+01,1.200003512707203441e+02,0.000000000000000000e+00,3.101044849961982069e-02,3.999879792204239948e+00,0.000000000000000000e+00
3.200005823269988525e+01,1.200003555037130951e+02,0.000000000000000000e+00,2.942056387043238963e-02,3.999891802339349489e+00,0.000000000000000000e+00
3.200005825861391884e+01,1.200003597367179538e+02,0.000000000000000000e+00,2.791218875501308774e-02,3.999902612529321111e+00,0.000000000000000000e+00
3.200005828319935119e+01,1.200003639697337263e+02,0.000000000000000000e+00,2.648114476673727596e-02,3.999912342661001929e+00,0.000000000000000000e+00
3.200005830652430205e+01,1.200003682027593328e+02,0.000000000000000000e+00,2.512346765424326028e-02,3.999921100643487382e+00,0.000000000000000000e+00
3.200005832865339528e+01,1.200003724357937926e+02,0.000000000000000000e+00,2.383539633605523400e-02,3.999928983604769783e+00,0.000000000000000000e+00
3.200005834964793650e+01,1.200003766688361964e+02,0.000000000000000000e+00,2.261336249545969207e-02,3.999936078968841624e+00,0.000000000000000000e+00
3.200005836956609073e+01,1.200003809018857908e+02,0.000000000000000000e+00,2.145398070716824507e-02,3.999942465425196492e+00,0.000000000000000000e+00
