ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200001887070987294e+01,1.200000128145298390e+02,0.000000000000000000e+00
3.200001900108490105e+01,1.200000129956033135e+02,0.000000000000000000e+00
3.200001913147031019e+01,1.200000131780498407e+02,0.000000000000000000e+00
3.200001926186224921e+01,1.200000133618689944e+02,0.000000000000000000e+00
3.200001939225694514e+01,1.200000135470603624e+02,0.000000000000000000e+00
3.200001952265063210e+01,1.200000137336234332e+02,0.000000000000000000e+00
3.200001965303958684e+01,1.200000139215577235e+02,0.000000000000000000e+00
3.200001978342012876e+01,1.200000141108627076e+02,0.000000000000000000e+00
3.200001991378859856e+01,1.200000143015378313e+02,0.000000000000000000e+00
3.200002004414140089e+01,1.200000144935825404e+02,0.000000000000000000e+00
3.200002017447493330e+01,1.200000146869962663e+02,0.000000000000000000e+00
3.200002030478567150e+01,1.200000148817783696e+02,0.000000000000000000e+00
3.200002043507009120e+01,1.200000150779282251e+02,0.000000000000000000e+00
3.200002056532473915e+01,1.200000152754451932e+02,0.000000000000000000e+00
3.200002069554615503e+01,1.200000154743285918e+02,0.000000000000000000e+00
3.200002082573094953e+01,1.200000156745777389e+02,0.000000000000000000e+00
3.200002095587574757e+01,1.200000158761918954e+02,0.000000000000000000e+00
3.200002108597720962e+01,1.200000160791703649e+02,0.000000000000000000e+00
3.200002121603203165e+01,1.200000162835123803e+02,0.000000000000000000e+00
3.200002134603696646e+01,1.200000164892172023e+02,0.000000000000000000e+00
3.200002147598875979e+01,1.200000166962840353e+02,0.000000000000000000e+00
3.200002160588421418e+01,1.200000169047120693e+02,0.000000000000000000e+00
3.200002173572018194e+01,1.200000171145004799e+02,0.000000000000000000e+00
3.200002186549350824e+01,1.200000173256484715e+02,0.000000000000000000e+00
3.200002199520110224e+01,1.200000175381551770e+02,0.000000000000000000e+00
3.200002212483989439e+01,1.200000177520197155e+02,0.000000000000000000e+00
3.200002225440685066e+01,1.200000179672412628e+02,0.000000000000000000e+00
3.200002238389897258e+01,1.200000181838188524e+02,0.000000000000000000e+00
3.200002251331329006e+01,1.200000184017516176e+02,0.000000000000000000e+00
3.200002264264686147e+01,1.200000186210386488e+02,0.000000000000000000e+00
3.200002277189678779e+01,1.200000188416789939e+02,0.000000000000000000e+00
3.200002290106019132e+01,1.200000190636717150e+02,0.000000000000000000e+00
3.200002303013422988e+01,1.200000192870158600e+02,0.000000000000000000e+00
3.200002315911610395e+01,1.200000195117104198e+02,0.000000000000000000e+00
3.200002328800302820e+01,1.200000197377544566e+02,0.000000000000000000e+00
3.200002341679224571e+01,1.200000199651469615e+02,0.000000000000000000e+00
3.200002354548104933e+01,1.200000201938869111e+02,0.000000000000000000e+00
