ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.303099907559782666e+00,8.017671924677943762e-01,0.000000000000000000e+00
1.307293224953733013e+00,8.139928893977343982e-01,0.000000000000000000e+00
1.311414854466028901e+00,8.262512205654206632e-01,0.000000000000000000e+00
1.315465179641551297e+00,8.385412101683641373e-01,0.000000000000000000e+00
1.319444584648415741e+00,8.508619089147037018e-01,0.000000000000000000e+00
1.323353454432325993e+00,8.632123925442878321e-01,0.000000000000000000e+00
1.327192174853169204e+00,8.755917604731776605e-01,0.000000000000000000e+00
1.330961132804818980e+00,8.879991345507700640e-01,0.000000000000000000e+00
1.334660716319102214e+00,9.004336579196632329e-01,0.000000000000000000e+00
1.338291314654865394e+00,9.128944939692404947e-01,0.000000000000000000e+00
1.341853318373060322e+00,9.253808253747267676e-01,0.000000000000000000e+00
1.345347119398733859e+00,9.378918532141820030e-01,0.000000000000000000e+00
1.348773111070793895e+00,9.504267961565561196e-01,0.000000000000000000e+00
1.352131688180378433e+00,9.629848897145187880e-01,0.000000000000000000e+00
1.355423246998634257e+00,9.755653855563367616e-01,0.000000000000000000e+00
1.358648185294674571e+00,9.881675508715574985e-01,0.000000000000000000e+00
1.361806902344451675e+00,1.000790667785732779e+00,0.000000000000000000e+00
1.364899798931247910e+00,1.013434032819819697e+00,0.000000000000000000e+00
1.367927277338452763e+00,1.026096956390287751e+00,0.000000000000000000e+00
1.370889741335264311e+00,1.038778762346312501e+00,0.000000000000000000e+00
1.373787596155913171e+00,1.051478787540748305e+00,0.000000000000000000e+00
1.376621248472981618e+00,1.064196381431873561e+00,0.000000000000000000e+00
1.379391106365352337e+00,1.076930905713163078e+00,0.000000000000000000e+00
1.382097579281294397e+00,1.089681733968588917e+00,0.000000000000000000e+00
1.384741077997161840e+00,1.102448251351174857e+00,0.000000000000000000e+00
1.387322014572152540e+00,1.115229854282725253e+00,0.000000000000000000e+00
1.389840802299543654e+00,1.128025950172852010e+00,0.000000000000000000e+00
1.392297855654796912e+00,1.140835957155567071e+00,0.000000000000000000e+00
1.394693590240901448e+00,1.153659303841888084e+00,0.000000000000000000e+00
1.397028422731289687e+00,1.166495429087028191e+00,0.000000000000000000e+00
