gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199999665357567125e+01,1.200003697531859643e+02,2.060324969941476958e+00,-3.884083120130854550e-02,3.939663925721673010e+00,5.862998790234507512e-02
3.200002278726822169e+01,1.200004195068713102e+02,-2.997847022014327178e-01,-1.207045042332320281e-02,4.018643912771294069e+00,-1.584713241464321201e-02
3.200001686837167370e+01,1.200004108146040096e+02,-4.940060521503859547e+00,-2.816735458450025931e-02,3.966202271518947775e+00,9.523278286345629451e-02
3.200000984412142202e+01,1.200003564330125414e+02,-2.411804482267600469e-01,-5.930464202204418361e-02,4.010091797342409947e+00,-5.854176380115803241e-02
3.200007076740830314e+01,1.200003493388361164e+02,-1.076855038223139083e+01,6.478746720902536782e-02,3.968310869241827188e+00,-1.728774618847074562e-02
3.200001730932523714e+01,1.200004119458418899e+02,-1.257925167027430513e+00,5.755107576528985247e-02,3.975805831003796698e+00,2.978169142256228974e-02
3.200006567437348792e+01,1.200003925209475142e+02,2.963650764449754504e+00,6.910774303834472942e-02,3.988994019267534163e+00,-2.517365128121303031e-02
3.200014504788544656e+01,1.200004431709120070e+02,1.318191797011462896e+01,3.316937040544879617e-02,3.973952055770489711e+00,3.967807441615533309e-02
3.200002173220946844e+01,1.200003076707913294e+02,5.603556058812659835e+00,3.780907433470634404e-02,4.120572710616861478e+00,-9.074184312199577718e-03
3.200015404889366977e+01,1.200003776285882964e+02,-1.144993392507222296e+01,8.559524782788621722e-02,3.930236999994165537e+00,1.058121749480639851e-03
3.200009439058997174e+01,1.200003180550509541e+02,1.282383944935111542e+00,2.610425440326009233e-02,4.017133212959697275e+00,-5.459102501382552541e-02
3.200007738482622699e+01,1.200003845429134373e+02,-1.751794491225798778e+00,1.389080399974440203e-02,3.960985187227743953e+00,-5.505022034289306504e-02
3.200005985099141270e+01,1.200004544315248154e+02,1.270190786283106554e+01,2.120578181805256660e-02,3.977132991963454156e+00,1.473447812896332490e-02
